arrival_intercept,arrival_slope,departure_intercept,departure_slope,arrival_std,departure_std,seasonal_start,seasonal_end
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,0,0
-8.954138752,-0.0155188235,376.7803214,-0.0277716923,1.889002782,2.017956841,0,0
-20,0,400,0,1,1,1,365
-20,0,400,0,1,1,1,365
-102.2311046,3.284716764,648.3977822,-6.150228534,30.69053939,41.68302824,130,250
-50.19991646,2.424384631,393.997774,-2.554692131,20.29746594,35.65554651,0,0
130.81,0,139.24,0,10.32322465,121.4481357,115,270
101.7072276,0.932073059,464.5637088,-3.616097441,59.09285544,57.916878,0,0
-20,0,400,0,1,1,0,0
-1453.760004,24.21638934,1438.878022,-17.76146231,92.31593924,88.70669269,0,0
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,0,0
117.9259881,0.4697706635,336.4123381,-1.862136814,29.85842799,22.87277998,0,0
259.344444,-2.026438081,51.93182924,2.524505814,24.04829014,45.44264421,0,0
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,0,0
85.8145016,1.044689382,322.7187074,-1.319018373,39.84646806,34.78912542,0,0
134.9208333,0,223.5,0,22.44822381,51.56856529,115,250
75.23718644,0.8377827085,580.2027265,-5.407780722,18.12575473,31.19014932,80,285
145.0670455,0,250.0795455,0,18.99234421,35.39722866,115,270
-570.1596651,10.55400748,934.9804477,-10.54656941,90.08914797,102.0259602,0,0
104.727551,0,247.9744898,0,8.200920451,9.353555953,0,0
-51.08828443,2.992640476,429.4934169,-3.276524732,26.2190516,28.13659007,0,0
70.75,0,314.2776596,0,111.2486634,107.3597466,30,300
132.2166667,0,208.5119048,0,11.68382559,52.1167276,0,0
-334.525207,7.294644149,596.3610936,-5.889155536,37.91614118,42.34862823,0,0
131.4954545,0,279.6954545,0,46.54669921,59.75610553,120,290
-67.31079098,2.697175275,823.1542629,-9.500721484,36.5632979,66.76446698,0,0
-216.811877,5.004385745,725.6933551,-7.250770078,29.02333899,67.55403031,100,280
-9.58529293,2.374318327,192.0446404,0.06158662931,25.26756875,27.77916721,110,250
3.454664862,1.613020858,1263.531314,-15.92531612,29.37924345,58.24122502,70,330
140.10625,0,209.1375,0,25.98949516,29.63911671,110,280
-90.90649255,3.384683078,365.1483198,-2.432996795,18.10844312,46.67497241,110,160
-20,0,400,0,1,1,0,0
45.23718644,0.8377827085,610.2027265,-5.407780722,18.12575473,31.19014932,70,310
-20,0,400,0,1,1,0,0
20.00152952,1.835697985,560.6572307,-5.827056889,20.16695592,54.23309841,0,0
-76.57624951,2.987664102,655.102753,-6.606542873,28.83422422,35.25615556,105,270
-67.97658169,2.713733443,651.4874436,-6.160336359,22.81441917,39.56627022,100,270
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,75,300
-102.2311046,3.284716764,648.3977822,-6.150228534,30.69053939,41.68302824,90,315
102.1888889,0,265.4395833,0,7.113287159,8.154408175,0,0
140.6,0,213.45,0,9.816849538,83.36704595,135,300
-228.5453333,5.098909657,857.6112386,-9.586310287,25.47708731,64.07542685,0,0
-20,0,400,0,1,1,0,0
-195.0616807,4.766462146,816.5011515,-8.879220575,26.32994945,58.65298178,0,0
-443.5524828,7.554187868,1111.190484,-12.50962802,79.99304261,106.8551861,1,365
-8.954138752,-0.0155188235,376.7803214,-0.0277716923,1.889002782,2.017956841,0,0
-826.1040062,14.3927869,1309.873502,-16.94089773,68.9750401,107.2570163,0,0
117.9259881,0.4697706635,336.4123381,-1.862136814,29.85842799,22.87277998,0,0
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,250,100
43.52964671,1.301347883,628.77108,-6.173945179,38.09679543,49.06331616,0,0
-826.1040062,14.3927869,1359.873502,-16.94089773,68.9750401,107.2570163,0,0
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,0,0
-76.34857927,2.960776862,658.8177028,-6.016158234,14.06566719,48.76375591,75,330
56.60172115,0.7067753946,610.5666695,-6.007402227,34.31354481,42.56686014,60,290
-37.97658169,2.713733443,651.4874436,-6.160336359,22.81441917,39.56627022,135,270
-8.954138752,-0.0155188235,376.7803214,-0.0277716923,1.889002782,2.017956841,1,365
-265.697052,6.451033393,936.4119787,-10.99103332,52.00998073,88.01102178,125,270
-175.3585915,4.215239164,963.2089201,-11.87316269,25.73367839,79.61221296,1,365
-8.954138752,-0.0155188235,376.7803214,-0.0277716923,1.889002782,2.017956841,1,365
-106.3565299,1.415742604,447.0957494,-1.02075318,25.31200572,22.44532364,1,365
-552.7095943,10.49062071,626.766445,-5.893637963,38.16537021,43.51228378,110,300
-85.28237431,3.545153985,518.6092287,-4.835758086,55.4075362,55.48857915,0,0
-143.015663,3.612969145,654.3373709,-5.924922906,31.65583646,36.20589251,70,315
16.26714564,2.48477108,544.5488671,-5.094160526,52.01448549,31.38249077,100,250
-188.3408562,4.533817223,515.2604906,-5.026869804,41.81597554,45.96516433,0,0
-20,0,400,0,1,1,0,0
-826.1040062,14.3927869,1359.873502,-16.94089773,68.9750401,107.2570163,75,330
-20,0,400,0,1,1,0,0
-552.7095943,10.49062071,626.766445,-5.893637963,38.16537021,43.51228378,0,0
111.4954545,0,279.6954545,0,46.54669921,59.75610553,75,330
-20,0,400,0,1,1,1,365
-52.97658169,2.713733443,621.4874436,-6.160336359,22.81441917,39.56627022,0,0
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,1,365
134.9208333,0,223.5,0,22.44822381,51.56856529,130,270
-20,0,400,0,1,1,0,0
-443.5524828,7.554187868,1111.190484,-12.50962802,79.99304261,106.8551861,0,0
-20,0,400,0,1,1,0,0
134.9208333,0,223.5,0,22.44822381,51.56856529,130,270
28.17777778,0,320.4944444,0,72.33179565,83.33628061,1,365
146.6103175,0,215.0944444,0,10.96421517,43.56904008,0,0
134.9208333,0,223.5,0,22.44822381,51.56856529,135,270
-11.40905521,-0.01954328006,403.5022779,-0.3724623458,44.72684566,40.22366694,1,365
-58.35171615,2.722064001,451.2068425,-3.289238848,29.58489045,40.8255432,75,315
-580.593406,9.60501065,1260.577945,-14.61341494,119.1674679,103.175872,1,365
-58.35171615,2.722064001,451.2068425,-3.289238848,29.58489045,40.8255432,0,0
